Y,X=  0.10,X=  0.20,X=  0.50,X=  1.00,X=  2.00,X=  5.00,X= 10.00,X= 20.00,X= 50.00
  0.10, 2.507876958441556E+00, 1.796254035864731E+00,-1.863189077762545E-02,-2.228252336052565E+00,-4.468528573850103E+00, 8.297852523358642E+00,-1.315801013680700E+03,-8.051776706461897E+08, 5.174567363273685E-01
  0.20, 1.203188905481288E+00, 8.652094223757807E-01,-3.808707410621390E-01,-2.204331013344212E+00,-4.138175306064565E+00, 7.470160359459299E+00,-1.190605022140513E+03,-7.285548845772226E+08, 4.644077319192515E-01
  0.50,-5.793930288527043E-01,-6.611046068768727E-01,-1.125299360123218E+00,-2.120042725838285E+00,-3.320564294477778E+00, 5.430637294861334E+00,-8.820736953774195E+02,-5.397267332873861E+08, 3.336747189097427E-01
  1.00,-1.400916567930768E+00,-1.420599490596299E+00,-1.550678433632459E+00,-1.909500251367369E+00,-2.380661948850150E+00, 3.138355784973534E+00,-5.350831936514578E+02,-3.273608116446596E+08, 1.866471080700099E-01
  2.00,-1.341390831754486E+00,-1.342759862074504E+00,-1.353190267376994E+00,-1.386822289645339E+00,-1.371899590228481E+00, 9.137242257087685E-01,-1.969709325381535E+02,-1.204293125122763E+08, 4.339185718218246E-02
  5.00,-5.413801906874658E-01,-5.409293507585577E-01,-5.378770604884127E-01,-5.275917843177963E-01,-4.880711784030032E-01,-2.469856468739629E-01,-9.981856246604677E+00,-5.995822508526164E+06,-3.571374379053720E-02
 10.00,-2.262783176260136E-01,-2.262312081000197E-01,-2.259029427886181E-01,-2.247460378950003E-01,-2.202971876229643E-01,-1.950985985131221E-01,-2.147575269043275E-01,-4.039962475578066E+04,-3.933231917544611E-02
 20.00,-1.055941016154953E-01,-1.055896351720382E-01,-1.055583862999092E-01,-1.054470142395343E-01,-1.050050986018494E-01,-1.020625261449748E-01,-9.329645284569681E-02,-1.906654051164931E+00,-3.738707540439086E-02
